Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Thumbnail,Sequence,Item Number,Item Description,Item Rev,Qty,Min Qty,Max Qty,Optional,Mut Excl,Ref Des,Item Footprint,BOM Notes,For Documentation,Child Action,Technology,Item Lifecycle,Subclass,BOM Description,REACH Compliance,RoHS Compliance,Encryption,REACH Up To Date,Moisture Sensitivity Level (MSL),Special Assembly Instructions,Single Source,Item P2 Notes,Operation Temperature,Manufacture Part Has Redline,Mfr. Name,Mfr Full Name,Mfr Priority Suffix,Mfr. Lifecycle Phase,Conflict Minerals Status,Mfr. Part Number,Mfr. Part Lifecycle Phase,Packaging Type,Preferred Status,Country of Origin (MP),Last Time Buy,Last Time Ship,Weight (Gram),REACH Up To Date,REACH Compliance,RoHS Compliance,Reference Notes
1,TRUE,TRUE,FALSE,FALSE,,0,COT000656,Con HeaderM 1x2 Ver TH 2.54mm 8.08+3.17+4.75,SPR003543,1,,,,,J4,CONN-HEADER-TH-254P493X635X1130-2,,,Issue,TH,Pilot,Connector,,,,No,,‎1 – Unlimited,,Y,,-55°C to 105°C,FALSE,MOLEX,MOLEX CORPORATION LTD,,Approved,Not Conflict Free,22/11/2026,Active,bulk,,India,,,0,,26.SVHC_242_07Nov2024,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000657,Cage SFP28 1X8 PF SAN HS (17mm) 2LP 1 rear pin,SPR003547,3,,,,,"J41,J42,J43",CAGE-SFP28-1X8-PF-900P-11627X5480X1700-48,,,Issue,Press Fit,Pilot,Connector,,,,No,,N/A – Not Applicable,,Y,,-40°C to 85°C,FALSE,TE,Tyco Electronics ltd,,Approved,Yes by Product,2294408-4,Active,tray,,China,,,0,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000658,Con HeaderM 1x5 TH 2.54  Ver 6+2.5+4.5mm,SPR003544,1,,,,,J3,CH31-1X5,,,Issue,TH,Pilot,Connector,,,,No,,‎1 – Unlimited,,,,-40°C to 105°C,FALSE,Morecra,Morecrafts,,Approved,Not Conflict Free,PL2525G026.0/4.5-105,Active,bulk,,Taiwan,,,0.878966,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000659,Cage SFP28 1X8 PF PCI HS(15mm) No LP 1 rear pin,SPR003547,3,,,,,"J85,J86,J87",CAGE-SFP28-1X8-PF-900P-11627X4847X1500-48,,,Issue,Press Fit,Pilot,Connector,,,,No,,N/A – Not Applicable,,Y,,-40°C to 85°C,FALSE,TE,Tyco Electronics ltd,,Approved,Yes by Product,2294408-2,Active,tray,,China,,,0,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000661,Cage QSFP28 1X4 SAN H/S 4LP No Rear Pins,SPR003547,1,,,,,J40,Cage-QSFP-1x4-PF-900P-6775x7650x1600-25,,,Issue,Press Fit,Pilot,Connector,,,,No,,N/A – Not Applicable,,,,0°C to 70°C,FALSE,TE,Tyco Electronics ltd,,Approved,Yes by Product,4-2170747-5,Active,Tray,,China,,,46.196424,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000664,Con HeaderM stacked 2x9 11.5mm Vert SMT,SPR003554,1,,,,,J11,CON_HEADERM_SM_254P2336X508X1150-18,,,Issue,SMT,Pilot,Connector,,,,No,,‎1 – Unlimited,,NO,,-40°C to 105°C,FALSE,Morecra,Morecrafts,,Approved,Not Conflict Free,PMD2525G07 5.0/11.5/7.5-209RP,Active,T&R,,Taiwan,,,0,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,CRY000061,XTAL 12.000MHz 20/30ppm 18pF 3.2x2.5mm -40/85C,MCO007384,1,,,,,Y1,XTAL320X250X080,,,Issue,SMT,Pilot,Crystal / Oscillator,,,,No,,‎1 – Unlimited,,NO,,-40°C to 85°C,FALSE,ABRACON,Abracon Corporation,,Approved,Yes by Manuf.,ABM8-12.000MHZ-D2Y-T,Active,T&R 1K,,,,,0.21176,,27.SVHC_247_21Jan2025,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Suntsu,Suntsu,,Approved,Yes by Manuf.,SXT32418DB48-12.000M,,T&R 3K,,,,,0,,,RoHS3 Compliant,
1,TRUE,FALSE,FALSE,FALSE,,0,DASP-90200-0180-GXX-SC,ASP - Assembly Procedure for 90200-0180-GXX-SC,1.0        ECO-013551,1,,,,,,,,Y,,,Production,Working Instructions,,Hila Milner,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,DIO000002,"Diode Schottky  20V, 500mA, SMini2",MCO006253,2,,,,,"D76,D77",SOD250X125x070,,,Issue,SMT,Production,Semiconductor,,,RoHS2,No,,‎1 – Unlimited,,Y,,Tj -40°C to 150°C,FALSE,ROHM,ROHM SEMICONDUCTOR LTD,,Approved,Not Conflict Free,RB550VM-30FHTE-17,Active,T&R 3K,Preferred,Korea;Philippines;Thailand;China;Malaysia,,,0.0034,,17.SVHC_209_25Jun20,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,ROHM,ROHM SEMICONDUCTOR LTD,,Approved,Not Conflict Free,RB550VM-30TE-17,Active,T&R 3K,Preferred,Korea;Philippines;Thailand;China;Malaysia,,,0.0034,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,PANASONIC,Panasonic Industrial Company,,Approved,Yes by Product,DB2J20900L,EOL,T&R 2K,Preferred,,31/08/2019,30/11/2019,0.003886,,15. SVHC_201_21Jul19,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,ROHM,ROHM SEMICONDUCTOR LTD,,Approved,Not Conflict Free,RB550VM-30,Active,T&R 3K,,Korea;Philippines;Thailand;China;Malaysia,,,0.003886,,17.SVHC_209_25Jun20,RoHS3 with Exemptions,
1,TRUE,TRUE,FALSE,FALSE,,0,EBZ000001,"BUZZER-PIEZO-12V-12mA-Dia.13.8mm,H 7mm,T/H,",SPR001015,1,,,,,BZ1,SPKR_1380X780,,,Issue,TH,Pilot,Electro Mechanical,,,,No,,‎1 – Unlimited,,,"3716-0004 BUZZER, PIEZO, INT DRIVE, TH, 4KHz, 12V, 7mA",0°C to 70°C,FALSE,SOBERTO,SOBERTON INC.,,Approved,Yes by Manuf.,PB-1408-1,Active,,,,,,0.8,,17.SVHC_209_25Jun20,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,EC#0402100NT,CAP-10p-0402-5%-NPO-50V,MCO007406,2,,,,,"C878,C884",C0402,,,Issue,SMT,Production,Capacitor,,,RoHS2,No,,‎1 – Unlimited,,,2220-0058 - Only Walsin,-55°C to 125°C,FALSE,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05C100DB5NNNC,Active,T&R 10K,Preferred,Korea,,,0.001181,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
